Codice Articolo Fornitore2222;Unita di Misura;Prezzo;Data Inizio Validita;Sconto 1;Sconto 2;Sconto 3;Sconto 4;Sconto 5;Sconto 6
7956;Pz;32,5;10/06/23;;;;;;
56909;Pz;1,71;10/06/23;;;;;;
56910;Pz;2,03;10/06/23;;;;;;
56911;Pz;2,47;10/06/23;;;;;;
56912;Pz;5,49;10/06/23;;;;;;
56913;Pz;24;10/06/23;;;;;;
61654;Pz;16;10/06/23;;;;;;
61655;Pz;8,99;10/06/23;;;;;;
61656;Pz;12;10/06/23;;;;;;
87712;Pz;2,95;10/06/23;;;;;;
87713;Pz;3,22;10/06/23;;;;;;
87714;Pz;3,6;10/06/23;;;;;;
87715;Pz;5,19;10/06/23;;;;;;
87716;Pz;6,41;10/06/23;;;;;;
87717;Pz;7,43;10/06/23;;;;;;
62202;Pz;4,75;10/06/23;;;;;;
57334;Pz;4,87;10/06/23;;;;;;
72505;Pz;1,17;10/06/23;;;;;;
72506;Pz;2,83;10/06/23;;;;;;
72507;Pz;3,28;10/06/23;;;;;;
72508;Pz;6,2;10/06/23;;;;;;
77383;Pz;0,69;10/06/23;;;;;;
77386;Pz;1,45;10/06/23;;;;;;
80365;Pz;1,09;10/06/23;;;;;;
80366;Pz;1,24;10/06/23;;;;;;
80367;Pz;1,42;10/06/23;;;;;;
80368;Pz;7,66;10/06/23;;;;;;
81834;Pz;9,15;10/06/23;;;;;;
87419;Pz;2,09;10/06/23;;;;;;
87420;CZ;6,07;10/06/23;;;;;;
95559;Pz;1,36;10/06/23;;;;;;
95560;Pz;1,36;10/06/23;;;;;;
95561;Pz;1,67;10/06/23;;;;;;
95562;Pz;1,8;10/06/23;;;;;;
95566;Pz;0,51;10/06/23;;;;;;
95567;Pz;2,32;10/06/23;;;;;;
95569;Pz;5,69;10/06/23;;;;;;
9936;Pz;16,7;10/06/23;;;;;;
76148;Pz;20,9;10/06/23;;;;;;
94313;Pz;5,92;10/06/23;;;;;;
94314;Pz;3,41;10/06/23;;;;;;
57143;Pz;0,256;10/06/23;;;;;;
57145;CZ;2,26;10/06/23;;;;;;
98932;Pz;0,85;10/06/23;;;;;;
51208;CZ;8,21;10/06/23;;;;;;
58180;Pz;8,49;10/06/23;;;;;;
64577;CZ;1,17;10/06/23;;;;;;
70034;Pz;4,25;10/06/23;;;;;;
90006;Pz;3,73;10/06/23;;;;;;
90008;CZ;1,07;10/06/23;;;;;;
90010;Pz;3,65;10/06/23;;;;;;
90012;CZ;1,12;10/06/23;;;;;;
90013;Pz;2,75;10/06/23;;;;;;
98181;CZ;3,14;10/06/23;;;;;;
90011;Pz;2,54;10/06/23;;;;;;
2572;CZ;1,14;10/06/23;;;;;;
6664;CZ;4,84;10/06/23;;;;;;
6665;CZ;4,41;10/06/23;;;;;;
14285;Pz;1,93;10/06/23;;;;;;
22814;CZ;1,59;10/06/23;;;;;;
