conto;denominazione;denominazione_2;email;website;indirizzo;cap;citta;provincia;codice_fiscale;partita_iva;telefono;fax;attivo;accesso;password;ultimo_aggiornamento;token
230100002;ITALCER SPA;NULL;info@gruppoitalcer.it;www.gruppoitalcer.it;VIA EMILIA OVEST, 53/A;42048;RUBIERA;RE;142060359;142060359;522625111;522620429;A;NULL;NULL;2023-08-01 11:40:35.100;NULL
230100004;MARAZZI GROUP SRL;NULL;info@marazzijapan.com;www.marazzigroup.com;VIALE REGINA PACIS, 39;41049;SASSUOLO;MO;611410374;611410374;536996611;59384303;A;NULL;NULL;2023-09-05 17:37:47.000;NULL
230100019;MAPEI SPA;NULL;ordini.clienti.italia@mapei.it;www.mapei.com;VIALE EDOARDO JENNER, 4;20159;MILANO;MI;1649960158;1649960158;2376731;382729611;A;NULL;NULL;2023-09-05 17:35:21.000;NULL
230100021;TERREAL ITALIA SRL;NULL;sanmarco@sanmarco.it;www.sanmarco.it;STRADA ALLA NUOVA FORNACE;15048;VALENZA;AL;10750910159;1562600062;131941739;131953376;A;NULL;NULL;2023-09-18 14:51:16.557;NULL
230100027;CAMBIELLI SPA;NULL;info@cambielligroup.it;www.cambielliedilfriuli.it;VIA ASSANO, 1791;47521;CESENA;FC;721560159;721560159;26659761;266597771;A;NULL;NULL;2023-09-22 11:29:49.597;NULL
230100046;SCHIEDEL SRL;NULL;info@schiedel.it;www.schiedel.com;VIALE MONTE GRAPPA, 19/21;20060;TRUCCAZZANO;MI;11334210157;1727130211;02 950731;29583287;A;NULL;NULL;2023-09-19 08:28:49.677;NULL
230100068;SIKA ITALIA SPA;NULL;info@sika.it;ita.sika.com;VIA LUIGI EINAUDI, 6;20068;PESCHIERA BORROMEO;MI;868790155;868790155;254778170;254778119;A;NULL;NULL;2023-05-10 10:50:19.340;NULL
230100070;BRIANZA PLASTICA SPA;NULL;info@brianzaplastica.it;www.brianzaplastica.it;VIA RIVERA, 50;20841;CARATE BRIANZA;MB;865040158;698250966;36291601;362990457;A;NULL;NULL;2023-09-20 17:48:44.910;NULL
230100080;SAMO SPA;NULL;export@samo.it;www.samo.it;VIA CAVALIERE ORVILE VENTURATO, 1;37040;BONAVIGO;VR;226580231;226580231;44273018;442670033;A;NULL;NULL;2023-08-09 09:11:08.240;NULL
230100089;PIRCHER SRL;NULL;ordini.water@pircher.eu;www.pircher.eu;STRADA I MAGGIO, 2;46010;GAZZUOLO;MN;216620120;216620120;376924023;NULL;A;NULL;NULL;2023-07-14 09:48:41.000;NULL
